Unnamed: 0,번호,제목,저자,출판사,출판일
,1,"Semantic Computing for Big Data: Approaches, Tools, and Emerging Directions (2011-2014) = Semantic Computing for Big Data: Approaches, Tools, and Emerging Directions (2011-2014)","Jeong, Seung Ryul",Korean Society for Internet Information,2014
,2,A study on changes in domestic tourism trends using social big data analysis - Comparison before and after COVID19 - = A study on changes in domestic tourism trends using social big data analysis - Comparison before and after COVID19 -,"Yoo, Kyoung-mi",The Institute of Internet,2022
,3,A Study on Changes in Korean Image of Foreign Tourists Using Big Data - Post COVID-19 - = A Study on Changes in Korean Image of Foreign Tourists Using Big Data - Post COVID-19 -,"Yoo, Kyoung-Mi",The Institute of Internet,2021
,4,"How do People Understand and Express ""Smart City?"": Analysis of Transition in Smart-city Keywords through Semantic Network Analysis of SNS Big Data between 2011 and 2020 = How do People Understand and Express &quot;Smart City?&quot;: Analysis of Transition in Smart-city Keywords through Semantic Network Analysis of SNS Big Data between 2011 and 2020","Kim, Seong-A",Architectural Institute of Korea,2022
,5,Customer Credit Evaluation Using Big Data of Microfinance Company in China = A Comparative Study of Data Mining Techniques,Ying Wang(왕잉),한국경영학회,2018
,6,Utilization and Analysis of Big-data,Soowook Lee,국제문화기술진흥원,2019
,7,Private information protection method and countermeasures in Big-data environment : Survey,Sunghyuck Hong,한국융합학회,2018
,8,IoT-Based Health Big-Data Process Technologies: A Survey,"Yoo, Hyun",Korean Society for Internet Information,2021
,9,Utilization and Analysis of Big-data,이수욱,국제문화기술진흥원,2019
,10,Utilization and Analysis of Big-data,"Lee, Soowook",The International Promotion Agency of Culture Technology,2019
,1,"Semantic Computing for Big Data: Approaches, Tools, and Emerging Directions (2011-2014) = Semantic Computing for Big Data: Approaches, Tools, and Emerging Directions (2011-2014)","Jeong, Seung Ryul",Korean Society for Internet Information,2014
,2,A study on changes in domestic tourism trends using social big data analysis - Comparison before and after COVID19 - = A study on changes in domestic tourism trends using social big data analysis - Comparison before and after COVID19 -,"Yoo, Kyoung-mi",The Institute of Internet,2022
,3,A Study on Changes in Korean Image of Foreign Tourists Using Big Data - Post COVID-19 - = A Study on Changes in Korean Image of Foreign Tourists Using Big Data - Post COVID-19 -,"Yoo, Kyoung-Mi",The Institute of Internet,2021
,4,"How do People Understand and Express ""Smart City?"": Analysis of Transition in Smart-city Keywords through Semantic Network Analysis of SNS Big Data between 2011 and 2020 = How do People Understand and Express &quot;Smart City?&quot;: Analysis of Transition in Smart-city Keywords through Semantic Network Analysis of SNS Big Data between 2011 and 2020","Kim, Seong-A",Architectural Institute of Korea,2022
,5,Customer Credit Evaluation Using Big Data of Microfinance Company in China = A Comparative Study of Data Mining Techniques,Ying Wang(왕잉),한국경영학회,2018
,6,Utilization and Analysis of Big-data,Soowook Lee,국제문화기술진흥원,2019
,7,Private information protection method and countermeasures in Big-data environment : Survey,Sunghyuck Hong,한국융합학회,2018
,8,IoT-Based Health Big-Data Process Technologies: A Survey,"Yoo, Hyun",Korean Society for Internet Information,2021
,9,Utilization and Analysis of Big-data,이수욱,국제문화기술진흥원,2019
,10,Utilization and Analysis of Big-data,"Lee, Soowook",The International Promotion Agency of Culture Technology,2019
,1,"Semantic Computing for Big Data: Approaches, Tools, and Emerging Directions (2011-2014) = Semantic Computing for Big Data: Approaches, Tools, and Emerging Directions (2011-2014)","Jeong, Seung Ryul",Korean Society for Internet Information,2014
,2,A study on changes in domestic tourism trends using social big data analysis - Comparison before and after COVID19 - = A study on changes in domestic tourism trends using social big data analysis - Comparison before and after COVID19 -,"Yoo, Kyoung-mi",The Institute of Internet,2022
,3,A Study on Changes in Korean Image of Foreign Tourists Using Big Data - Post COVID-19 - = A Study on Changes in Korean Image of Foreign Tourists Using Big Data - Post COVID-19 -,"Yoo, Kyoung-Mi",The Institute of Internet,2021
,4,"How do People Understand and Express ""Smart City?"": Analysis of Transition in Smart-city Keywords through Semantic Network Analysis of SNS Big Data between 2011 and 2020 = How do People Understand and Express &quot;Smart City?&quot;: Analysis of Transition in Smart-city Keywords through Semantic Network Analysis of SNS Big Data between 2011 and 2020","Kim, Seong-A",Architectural Institute of Korea,2022
,5,Customer Credit Evaluation Using Big Data of Microfinance Company in China = A Comparative Study of Data Mining Techniques,Ying Wang(왕잉),한국경영학회,2018
,6,Utilization and Analysis of Big-data,Soowook Lee,국제문화기술진흥원,2019
,7,Private information protection method and countermeasures in Big-data environment : Survey,Sunghyuck Hong,한국융합학회,2018
,8,IoT-Based Health Big-Data Process Technologies: A Survey,"Yoo, Hyun",Korean Society for Internet Information,2021
,9,Utilization and Analysis of Big-data,이수욱,국제문화기술진흥원,2019
,10,Utilization and Analysis of Big-data,"Lee, Soowook",The International Promotion Agency of Culture Technology,2019
,11,"Enhanced and applicable algorithm for Big-Data by Combining Sparse Auto- Encoder and Load-Balancing, ProGReGA-KF",Hyunah Kim,국제문화기술진흥원,2021
,12,"Enhanced and applicable algorithm for Big-Data by Combining Sparse Auto-Encoder and Load-Balancing, ProGReGA-KF","Kim, Hyunah",The International Promotion Agency of Culture Technology,2021
,13,"Enhanced and applicable algorithm for Big-Data by Combining Sparse Auto-Encoder and Load-Balancing, ProGReGA-KF",김현아,국제문화기술진흥원,2021
,14,Private information protection method and countermeasures in Big-data environment: Survey,홍성혁,Korea Convergence Society,2018
,15,Analysis of Fire-Accident Factors Using Big-Data Analysis Method for Construction Areas,Joon-Soo Kim,대한토목학회,2018
,16,Text mining geo-visualization of patent documents on geo-spatial big-data industry,Wonwook Choi,대한공간정보학회,2019
,17,"Big-Data Meta Analysis in the Last Quarter Century of Mass Communication Research : Four Subfields of PR, Journalism, Political communication, and Advertising",김선우,한국PR학회,2021
,18,A Big-Data-Based Urban Flood Defense Decision Support System,Taimeng Yang,보안공학연구지원센터,2015
,19,"Risk Assessment of Secondary Primary Malignancies in Nasopharyngeal Carcinoma: A Big-Data Intelligence Platform-Based Analysis of 6,377 Long-term Survivors from an Endemic Area Treated with Intensity-Modulated Radiation Therapy during 2003-2013",Lu-Lu Zhang,대한암학회,2019
,20,Development of Mission and Vision of College of Korean Medicine Using the Delphi Techniques and Big-Data Analysis,여상희,대한한의학회,2021
,21,Development of Mission and Vision of College of Korean Medicine Using the Delphi Techniques and Big-Data Analysis,Sanghee Yeo,대한한의학회,2021
,22,Using Big-Data-Driven Machine-Learning Experimentation to Modeling Mobility and Safety Disruption of Critical Highway Renewal Projects,"Choi, Kunhee",Korean Institute of Construction Engineering and Management,2018
,23,Technology Analysis of Big-data Collection and Pre-processing Based on Prescriptive Analytics,Lee Jeong-won,한국콘텐츠학회,2020
,24,A Study on Big-Data's Effect of Film Marketing,Jin-Wook Kim,한국콘텐츠학회,2014
,25,Extraction of valuable information from the structure of the geological big-data,Jina Jeong,대한지질학회,2020
,26,Improving Crisis & Emergency Management Capability of Government by  Using Big Data Technology - China’s Response to the COVID-19 -,Linpei Zhai,위기관리 이론과 실천,2021
,27,Challenges and Opportunities of Big Data,"Khalil, Md Ibrahim",ICT Platform Society,2020
,28,Challenges and Opportunities of Big Data,Md Ibrahim Khalil,ICT플랫폼학회,2020
,29,Big and Meta Data Management for U-Agriculture Mobile Services,Chandra Sukanya Nandyala,보안공학연구지원센터(IJSEIA),2016
,30,Comparative Study of Big Data Computing and Storage Tools : A Review,Bakshi Rohit Prasad,보안공학연구지원센터,2016
,31,A Study on Open API of Securities and Investment Companies in Korea for Activating Big Data,Gui Yeol Ryu,한국인터넷방송통신학회,2019
,32,Handling Endogeneity Challenge in Big Astronomical Data,Sumedha Arora,보안공학연구지원센터,2015
,33,Spatial Big Data Strategy for Smart Safer City in Connection with Citizen Participation,최준영,국토지리학회,2020
,34,A Study on the Policy Trends for the Revitalization of Medical Big Data Industry,Hyejin Kim,한국디지털정책학회,2020
,35,The Framework of Social Networks Big Data Processing Based on Cloud Computing,Liu Kewen,보안공학연구지원센터,2016
,36,Future directions of Research on Crisis Management implementing Big Data,Seol A Kown,위기관리 이론과 실천,2016
,37,Big Data Platform Based on Hadoop and Application to Weight Estimation of FPSO Topside,"Kim, Seong-Hoon",Korean Society of Ocean Engineers,2017
,38,THE IMPACT OF BIG DATA ON BUSINESS MODEL INNOVATION OF TRADITIONAL INDUSTRY,"Shenghui Wang,Yuchen Zhang,Tianzhu Li,Jing Fei Long",글로벌지식마케팅경영학회,2016
,39,Anonymity Personal Information Secure Method in Big Data environment,Sunghyuck Hong,중소기업융합학회,2018
,40,Big Data Architecture Design for the Development of Hyper Live Map (HLM),"Moon, Sujung",한국측량학회,2016
,41,Big Data and Algorithm = 빅데이터와 알고리즘 : 독일 관점에서의 예비적 고찰,Hans-Heinrich Trute,서울대학교 공익산업법센터,2015
,42,Protecting Privacy in Big Data = 빅데이터 활용에 있어서의 프라이버시 보호,Fred H. Cate,서울대학교 공익산업법센터,2015
,43,Big Data Key Challenges,"Alotaibi, Sultan",International Journal of Computer ScienceNetwork Security,2022
,44,Analysis and Review the Data Using Big Data Hadoop,Ankit Jain,보안공학연구지원센터,2016
,45,Business Intelligence and Marketing Insights in an Era of Big Data: The Q-sorting Approach,"Kim, Ki Youn",Korean Society for Internet Information,2014
,46,A Study on Open API of Securities and Investment Companies in Korea for Activating Big Data,류귀열,한국인터넷방송통신학회,2019
,47,Medical big data: promise and challenges,이충호,대한신장학회,2017
