,title,description,originallink,link,pubDate
0,[생일서포트 스타서베이] 17일 득표량 순위는 김기태·박서함·유채훈·방탄소...,"이어 11위 아이즈원 <b>조유리</b>(30,060표), 12위 김호중(28,650표), 13위 드림캐쳐 시연(21,330표), 14위... 아이즈원 <b>조유리</b>(1,170표), 드림캐쳐 시연(990표), 엠씨엔디 휘준(990표), (여자)아이들 민니(990표), 이달의 소녀... ",http://www.topstarnews.net/news/articleView.html?idxno=14722348,http://www.topstarnews.net/news/articleView.html?idxno=14722348,"Thu, 18 Aug 2022 09:10:00 +0900"
1,"미미쿠스 김윤우, 조유리에 ""저는 존재부터 가짜"" 눈물의 고백",17일 방송된 &apos;미미쿠스&apos;에서 수빈(김윤우 분)은 오로시(<b>조유리</b> 분)에게 한유성(유영재 분)과 자신이 배다른 형제이며 엄마가 자신의 어린 시절부터 유성을 집요하게 따라해왔다는 사실을 밝히며 &quot;저는 진짜를 따라 하려고... ,http://www.slist.kr/news/articleView.html?idxno=377529,http://www.slist.kr/news/articleView.html?idxno=377529,"Thu, 18 Aug 2022 09:02:00 +0900"
2,"'걸그룹 센터' 조유리, 팀 내 '왕따' 고백 ('미미쿠스')","17일 방송된 ‘미미쿠스’에서 수빈은 오로시(<b>조유리</b> 분)에게 한유성(유영재 분)과 자신이 배다른 형제이며, 엄마가 자신의 어린 시절부터 유성을 집요하게 따라해왔다는 사실을 밝히며 “저는 진짜를 따라 하려고 만든... ",https://tenasia.hankyung.com/drama/article/2022081807544,https://n.news.naver.com/mnews/article/312/0000564498?sid=106,"Thu, 18 Aug 2022 08:48:00 +0900"
3,"최예나X조유리X권은비, 아이즈원에서 '올라운더' 솔로로[SS연예프리즘]","그룹 아이즈원 출신 최예나, <b>조유리</b>, 권은비의 다채로운 활약이 빛나고 있다. 지난해 4월 29일 공식적으로... 그런 가운데, 그룹이 아닌 당당히 홀로서기에 나선 최예나, <b>조유리</b>, 권은비도 솔로 가수로서 자신의 색을... ",http://www.sportsseoul.com/news/read/1151558?ref=naver,https://n.news.naver.com/mnews/article/468/0000874669?sid=106,"Thu, 18 Aug 2022 06:01:00 +0900"
4,‘미미쿠스’ 조유리 “나도 내 비밀 하나 알려줄까”,"‘미미쿠스’에서 비밀을 알게 된 유일한 인물 오로시(<b>조유리</b> 분)가 지수빈(김윤우 분)과 연습실에서 재회한다. ‘미미쿠스’는 17일 8화 공개를 앞두고 조금 더 가까워진 듯한 모습의 로시, 수빈이 연습실에서 은밀히... ",https://isplus.com/2022/08/17/enter/entertainment/20220817175049774.html,https://n.news.naver.com/mnews/article/241/0003225366?sid=106,"Wed, 17 Aug 2022 17:50:00 +0900"
5,"조유리, 출생의 비밀 뺨치는 걸그룹 멤버의 비밀 (미미쿠스)","하이틴 드라마의 명가 플레이리스트가 제작한 &apos;미미쿠스&apos;에서 &apos;출생의 비밀&apos;이 밝혀져 파란을 예고한 가운데, 비밀을 알게 된 유일한 인물인 오로시(<b>조유리</b> 분)가 지수빈(김윤우 분)과 연습실에서 재회한다. &apos;미미쿠스&apos;는... ",http://sports.chosun.com/news/ntype.htm?id=202208180100123300007492&servicedate=20220817,https://n.news.naver.com/mnews/article/076/0003905739?sid=106,"Wed, 17 Aug 2022 16:19:00 +0900"
6,"조유리, 김윤우에 ""나도 내 비밀 하나 알려줄까?"" (미미쿠스)","인물인 <b>조유리</b>가 김윤우와 연습실에서 재회한다. 플레이리스트 ‘미미쿠스’는 17일 8화 공개를 앞두고 조금 더 가까워진 듯한 모습의 오로시(<b>조유리</b> 분), 지수빈(김윤우)이 연습실에서 은밀히 마주앉아 있는 모습을... ",https://www.xportsnews.com/article/1618759,https://n.news.naver.com/mnews/article/311/0001489584?sid=106,"Wed, 17 Aug 2022 15:49:00 +0900"
7,"조유리, 은밀하게 털어놀은 걸그룹 멤버의 비밀 ('미미쿠스')","하이틴 드라마의 명가 플레이리스트가 제작한 ‘미미쿠스’에서 ‘출생의 비밀’이 밝혀져 파란을 예고한 가운데, 비밀을 알게 된 유일한 인물인 오로시(<b>조유리</b> 분)가 지수빈(김윤우 분)과 연습실에서 재회한다.... ",https://tenasia.hankyung.com/tv/article/2022081791304,https://n.news.naver.com/mnews/article/312/0000564373?sid=106,"Wed, 17 Aug 2022 13:57:00 +0900"
8,"'미미쿠스' 조유리, ‘출생의 비밀’ 뺨치는 걸그룹 멤버의 비밀은?"," 하이틴 드라마의 명가 플레이리스트가 제작한 ‘미미쿠스’에서 ‘출생의 비밀’이 밝혀져 파란을 예고한 가운데, 비밀을 알게 된 유일한 인물인 오로시(<b>조유리</b> 분)가 지수빈(김윤우 분)과 연습실에서 재회한다.... ",http://www.osen.co.kr/article/G1111920788,https://n.news.naver.com/mnews/article/109/0004679790?sid=106,"Wed, 17 Aug 2022 13:03:00 +0900"
9,"'미미쿠스' 조유리, 출생의 비밀 뺨치는 걸그룹 멤버의 비밀은?","하이틴 드라마의 명가 플레이리스트가 제작한 &apos;미미쿠스&apos;에서 &apos;출생의 비밀&apos;이 밝혀져 파란을 예고한 가운데, 비밀을 알게 된 유일한 인물인 오로시(<b>조유리</b> 분)가 지수빈(김윤우 분)과 연습실에서 재회한다. &apos;미미쿠스&apos;는... ",http://enews.imbc.com/News/RetrieveNewsInfo/357086,https://n.news.naver.com/mnews/article/408/0000164388?sid=106,"Wed, 17 Aug 2022 10:33:00 +0900"
