,title,description,originallink,link,pubDate
0,"더보이즈, 써클차트 8월 17일 리테일 앨범차트 1위, 있지·방탄소년단·더보이...","뒤이어 31위부터는 31위 세븐틴의 &apos;4th Album Repackage `SECTOR 17` (Weverse)&apos;(185장), 32위 스트레이 키즈의 &apos;Cle 2 : Yellow Wood&apos;(181장), 33위 <b>최예나</b>의 &apos;SMARTPHONE&apos;(171장), 34위 엔하이픈의 &apos;DIMENSION... ",http://www.topstarnews.net/news/articleView.html?idxno=14722352,http://www.topstarnews.net/news/articleView.html?idxno=14722352,"Thu, 18 Aug 2022 09:16:00 +0900"
1,"<b>최예나</b>X조유리X권은비, 아이즈원에서 &apos;올라운더&apos; 솔로로[SS연예프리즘]","그룹 아이즈원 출신 <b>최예나</b>, 조유리, 권은비의 다채로운 활약이 빛나고 있다. 지난해 4월 29일 공식적으로... 그런 가운데, 그룹이 아닌 당당히 홀로서기에 나선 <b>최예나</b>, 조유리, 권은비도 솔로 가수로서 자신의 색을... ",http://www.sportsseoul.com/news/read/1151558?ref=naver,https://n.news.naver.com/mnews/article/468/0000874669?sid=106,"Thu, 18 Aug 2022 06:01:00 +0900"
2,"코요태 신지, 김성주X붐 댄스에 웃참 실패…&apos;촤~&apos; 포인트 댄스로 &apos;GO 챌린지&apos;...","컴백 후 바쁜 활동을 이어가고 있는 코요태는 신곡 &apos;GO&apos; 챌린지를 연달아 오픈, 오마이걸 효정과 승희, 비비지, 하성운, NCT 드림 재민과 천러, 골든차일드 승민과 주찬, 트라이비, <b>최예나</b>, 팝핍현준 등 다양한 아티스트들과... ",https://www.spotvnews.co.kr/news/articleView.html?idxno=543390,https://n.news.naver.com/mnews/article/477/0000376784?sid=106,"Wed, 17 Aug 2022 17:49:00 +0900"
3,코요태 ‘GO’ 댄스 열기 뜨겁다…탁재훈·김준호김성주·붐 등 참여 ing,"이외에도 코요태는 오마이걸 효정과 승희, 비비지(VIVIZ), 하성운, NCT DREAM 재민과 천러, 골든차일드 승민과 주찬, 트라이비, <b>최예나</b>, 팝핍현준 등 다양한 아티스트들과 댄스 합을 보여준 바 있다.",http://mksports.co.kr/view/2022/728596/,https://n.news.naver.com/mnews/article/410/0000888426?sid=106,"Wed, 17 Aug 2022 17:48:00 +0900"
4,"코요태 신지, 김성주X붐과 ‘GO’ 챌린지 영상 공개","컴백 후 활동을 이어가고 있는 코요태는 신곡 ‘GO’ 챌린지를 연달아 오픈, 오마이걸 효정과 승희, 비비지(VIVIZ), 하성운, NCT DREAM 재민과 천러, 골든차일드 승민과 주찬, 트라이비, <b>최예나</b>, 팝핍현준 등 다양한... ",http://sports.khan.co.kr/news/sk_index.html?art_id=202208171715003&sec_id=540101&pt=nv,https://n.news.naver.com/mnews/article/144/0000831523?sid=106,"Wed, 17 Aug 2022 17:16:00 +0900"
5,"코요태 신지, 김성주X붐 댄스에 웃참 실패?","코요태는 신곡 ‘GO’ 챌린지를 연달아 오픈, 오마이걸 효정과 승희, 비비지(VIVIZ), 하성운, NCT DREAM 재민과 천러, 골든차일드 승민과 주찬, 트라이비, <b>최예나</b>, 팝핍현준 등 다양한 아티스트들과 댄스 합을 보여준 바 있다.",http://star.mbn.co.kr/view.php?year=2022&no=728396&refer=portal,https://n.news.naver.com/mnews/article/057/0001684142?sid=106,"Wed, 17 Aug 2022 16:54:00 +0900"
6,친오빠한테 용돈 주고 비싼 선물 사주더니 &apos;독박 정리정돈&apos; 당연하게 여긴 최...,= 아이즈원 출신 가수 <b>최예나</b>와 그의 오빠 최성민 남매가 정리 정돈에 있어서 극과 극으로 다른 성향을 보였다.지난 16일 방송된 MBC &apos;호적메이트&apos;에서는 <b>최예나</b>가 친오빠 최성민과 함께 사는 일상이 전해졌다.이날 아침... ,https://www.insight.co.kr/news/408294,https://www.insight.co.kr/news/408294,"Wed, 17 Aug 2022 13:10:00 +0900"
7,아이돌 &apos;남녀공학&apos; 출신 배우인데 생계 위해 &apos;카페 알바&apos; 하는 <b>최예나</b> 친오빠,지난 16일 방송된 MBC &apos;호적메이트&apos;에서는 아이즈원 출신 가수 <b>최예나</b>가 친오빠 최성민이 일하는 카페를 깜짝 방문한 모습이 그려졌다.이날 MC 김정은은 최성민에게 &quot;<b>최예나</b>의 오빠기도 하지만 사실 아이돌 남녀공학... ,https://www.insight.co.kr/news/408263,https://www.insight.co.kr/news/408263,"Wed, 17 Aug 2022 11:14:00 +0900"
8,"<b>최예나</b>X최성민, 비현실적인 스윗 남매 &quot;넌 더 잘돼야 해&quot;(&apos;호적메이트&apos;)","가수 <b>최예나</b>, 최성민이 비현실적인 스윗 남매의 정석을 보여줬다. 지난 16일 방송된 MBC 예능프로그램 ‘호적메이트’(기획 최윤정, 연출 정겨운)에서는 오빠 최성민과 함께 컴백을 준비하는 <b>최예나</b>의 하루, 여동생 순애와... ",http://star.mk.co.kr/new/view.php?mc=ST&year=2022&no=725575,https://n.news.naver.com/mnews/article/009/0005005260?sid=106,"Wed, 17 Aug 2022 09:08:00 +0900"
9,"&quot;윈윈하는 사이&quot;…<b>최예나</b>-최성민, 비현실 남매의 정석(&apos;호적메이트&apos;)","<b>최예나</b>-최성민이 &apos;비현실 남매&apos; 정석을 보여줬다. 16일 방송된 MBC 예능 &apos;호적메이트&apos;에서는 오빠 최성민과 함께 컴백을 준비하는 <b>최예나</b>의 하루, 여동생 순애와 함께 30여 년 전 서울 살이 시절로 돌아간 이경규의 추억... ",http://sports.chosun.com/news/ntype.htm?id=202208170100119350007280&servicedate=20220817,https://n.news.naver.com/mnews/article/076/0003905560?sid=106,"Wed, 17 Aug 2022 09:00:00 +0900"
10,"<b>최예나</b> 위한 최성민의 노력 &quot;헬스, 안무 수정, 식단 관리까지&quot;(&apos;호적메이트&apos;)...","최성민, <b>최예나</b> 남매는 하루를 보내며 <b>최예나</b>의 신곡 준비를 함께 하는 모습을 보였다. 이경규는 대학 시절 외할머니와 함께 살았던 시절을 회상했다. 외할머니의 단칸방에서 살았던 이경규는 &quot;그때는 연탄으로 난방을... ",http://www.osen.co.kr/article/G1111920583,https://n.news.naver.com/mnews/article/109/0004679608?sid=106,"Wed, 17 Aug 2022 08:43:00 +0900"
11,"&apos;호적&apos; <b>최예나</b>·최성민, 비현실 남매의 정석..스윗오빠x열일청년 일당백 [종합...","‘호적메이트’ <b>최예나</b>-최성민이 ‘비현실 남매’ 정석을 보여줬다. 8월 16일 방송된 MBC 예능 ‘호적메이트’(기획 최윤정, 연출 정겨운)에서는 오빠 최성민과 함께 컴백을 준비하는 <b>최예나</b>의 하루, 여동생 순애와 함께... ",http://www.osen.co.kr/article/G1111920633,https://n.news.naver.com/mnews/article/109/0004679584?sid=106,"Wed, 17 Aug 2022 07:49:00 +0900"
12,"&apos;호메&apos; 최성민, 카페 알바 일상→이경규 홍대 방문에 &quot;땅을 샀어야&quot;","&apos;호적메이트&apos; <b>최예나</b>-최성민이 &apos;비현실 남매&apos; 정석을 보여줬다. 16일 방송된 MBC 예능 &apos;호적메이트&apos;(기획 최윤정, 연출 정겨운)에서는 오빠 최성민과 함께 컴백을 준비하는 <b>최예나</b>의 하루, 여동생 순애와 함께 30여 년 전... ",http://www.slist.kr/news/articleView.html?idxno=377157,http://www.slist.kr/news/articleView.html?idxno=377157,"Wed, 17 Aug 2022 07:48:00 +0900"
13,"이경규, &quot;결혼하고 싶은 연예인 1위&quot; 몇년간 이어져 (호적메이트)","‘호적메이트’ <b>최예나</b>-최성민이 ‘비현실 남매’ 정석을 보여줬다. 8월 16일 방송된 MBC 예능 ‘호적메이트’(기획 최윤정, 연출 정겨운)에서는 오빠 최성민과 함께 컴백을 준비하는 <b>최예나</b>의 하루, 여동생 순애와 함께 30여... ",http://enews.imbc.com/News/RetrieveNewsInfo/357056,https://n.news.naver.com/mnews/article/408/0000164360?sid=106,"Wed, 17 Aug 2022 07:45:00 +0900"
14,"&apos;호적메이트&apos; <b>최예나</b>-최성민, 훈훈 끝판왕 비현실 남매 &quot;서로 윈윈하는 게 좋...","<b>최예나</b>-최성민이 ‘비현실 남매’의 모습을 보여줬다. 지난 16일 방송된 MBC 예능 ‘호적메이트’(기획 최윤정, 연출 정겨운)에서는 오빠 최성민과 함께 컴백을 준비하는 <b>최예나</b>의 하루, 여동생 순애와 함께 30여 년 전 서울... ",http://biz.heraldcorp.com/view.php?ud=202208170736158519896_1,https://n.news.naver.com/mnews/article/112/0003581127?sid=106,"Wed, 17 Aug 2022 07:41:00 +0900"
15,[종합] &apos;<b>최예나</b> 오빠&apos; 최성민 &quot;생계 위해 카페 알바…동생 때문에 더 열심히 ...,지난 16일 방송된 MBC &apos;호적메이트&apos;에서는 <b>최예나</b>와 오빠 최성민의 모습이 그려졌다. 이날 방송에서 최성민은... <b>최예나</b>와 최성민의 일상이 공개됐다. 이른 아침 <b>최예나</b>는 이미 잠에서 깬 상황. <b>최예나</b>는 스마트폰 터치로... ,https://tenasia.hankyung.com/tv/article/2022081778704,https://n.news.naver.com/mnews/article/312/0000564269?sid=106,"Wed, 17 Aug 2022 07:28:00 +0900"
16,"&apos;호적메이트&apos; <b>최예나</b>x최성민, 이토록 비현실적 남매가 있나 [어저께TV]","‘호적메이트’ 비현설직인 남매 <b>최예나</b>, 최성민이 등장했다. 16일 방영된 MBC 예능 ‘호적메이트’에서는 찐 남매들의 다정한 모습이 그려졌다. 이경규, 이순애 씨 남매와 최성민, <b>최예나</b> 남매가 나왔다. 이경규는 이날 딸... ",http://www.osen.co.kr/article/G1111920582,https://n.news.naver.com/mnews/article/109/0004679570?sid=106,"Wed, 17 Aug 2022 07:00:00 +0900"
